"Freq [GHz]","Phi [deg]","Theta [deg]","dB20normalize(rETotal) []"
10,0,-99.0000000000007,-35.544411530594
10,0,-98.0000000000007,-35.9756122180012
10,0,-97.0000000000007,-36.6747741891794
10,0,-96.0000000000007,-37.5230061896429
10,0,-95.0000000000007,-38.2555339629111
10,0,-94.0000000000007,-38.4872275519397
10,0,-93.0000000000007,-38.0123874754837
10,0,-92.0000000000007,-37.0463490180754
10,0,-91.0000000000007,-35.9602490308296
10,0,-90.0000000000007,-34.9956680119023
10,0,-89.0000000000007,-34.2508822779166
10,0,-88.0000000000007,-33.7468679723573
10,0,-87.0000000000007,-33.4682195612998
10,0,-86.0000000000007,-33.3768648673733
10,0,-85.0000000000007,-33.4109940011454
10,0,-84.0000000000007,-33.4793599355148
10,0,-83.0000000000007,-33.4646962982789
10,0,-82.0000000000007,-33.2539113313567
10,0,-81.0000000000007,-32.792505141976
10,0,-80.0000000000007,-32.1171303338253
10,0,-79.0000000000007,-31.3282547102891
10,0,-78.0000000000007,-30.5346727380886
10,0,-77.0000000000007,-29.8191700117417
10,0,-76.0000000000007,-29.2324975084344
10,0,-75.0000000000007,-28.7992595029646
10,0,-74.0000000000007,-28.5234921425947
10,0,-73.0000000000007,-28.38971260539
10,0,-72.0000000000007,-28.3593827001941
10,0,-71.0000000000007,-28.3659305410164
10,0,-70.0000000000007,-28.3169812611248
10,0,-69.0000000000007,-28.1169449131504
10,0,-68.0000000000007,-27.7108380482054
10,0,-67.0000000000007,-27.1175951947127
10,0,-66.0000000000007,-26.4173809234091
10,0,-65.0000000000007,-25.7071327232855
10,0,-64.0000000000007,-25.0656176764349
10,0,-63.0000000000007,-24.5427104382313
10,0,-62.0000000000007,-24.1627086311614
10,0,-61.0000000000007,-23.9301968623578
10,0,-60.0000000000007,-23.8332294590132
10,0,-59.0000000000007,-23.8425412753563
10,0,-58.0000000000007,-23.9074328853829
10,0,-57.0000000000007,-23.9518072732604
10,0,-56.0000000000007,-23.8792487497528
10,0,-55.0000000000006,-23.5987801738619
10,0,-54.0000000000006,-23.0676641470769
10,0,-53.0000000000006,-22.3177639161291
10,0,-52.0000000000006,-21.4371189631426
